20180721,135665461.7
20180722,109402048.5
20180723,2688140473
20180724,1204254464
20180725,1220400603
20180726,1448741275
20180727,838151572.9
20180728,89179148.33
20180729,59151697.4
20180730,1024243760
20180731,356895115.9
20180801,284443225.5
20180802,552113362.2
20180803,887354171.1
20180804,267824712
20180805,846534980.8
20180806,3212430107
20180807,1095203551
20180808,664616821.2
20180809,646250639.6
20180810,987465471.8
20180811,181179192.6
20180812,121339876.3
20180813,2765924562
20180814,751626606.1
20180815,1279429786
20180816,1193910005
20180817,1108966242
20180818,107183382.3
20180819,112965660
20180820,1737863164
20180821,2343198264
20180822,1251856689
20180823,946111611.8
20180824,1109465738
20180825,243775650.4
20180826,147778523.5
20180827,1878548379
20180828,832379408.6
20180829,541899777.4
20180830,712786023.2
20180831,301866412.9
20180901,221959227.9
20180902,110927938.3
20180903,1312107108
20180904,1145342246
20180905,1917722120
20180906,1844698901
20180907,695713215.3
20180908,133189149.1
20180909,119125724.2
20180910,1618504546
20180911,2062065272
20180912,812164198.5
20180913,772065103.6
20180914,685054071.6
20180915,323195534.8
20180916,155113924.3
20180917,2188933096
20180918,854324069.4
20180919,858096897.5
20180920,1159725785
20180921,2336105658
20180922,129291612.7
20180923,101086129
20180924,95583742.78
20180925,2090015493
20180926,1551308479
20180927,709473422.1
20180928,863983427.2
20180929,716138260
20180930,238197976.1
